Episode 673/2000 | Total reward: -165.0
Episode 674/2000 | Total reward: -126.0
Episode 675/2000 | Total reward: -170.0
Episode 676/2000 | Total reward: -130.0
Episode 677/2000 | Total reward: -159.0
Episode 678/2000 | Total reward: -129.0
Episode 679/2000 | Total reward: -200.0
Episode 680/2000 | Total reward: -200.0
Episode 681/2000 | Total reward: -200.0
Episode 682/2000 | Total reward: -200.0
Episode 683/2000 | Total reward: -200.0
Episode 684/2000 | Total reward: -200.0
Episode 685/2000 | Total reward: -200.0
Episode 686/2000 | Total reward: -200.0
Episode 687/2000 | Total reward: -200.0
Episode 688/2000 | Total reward: -200.0
Episode 689/2000 | Total reward: -200.0
Episode 690/2000 | Total reward: -200.0
Episode 691/2000 | Total reward: -200.0
Episode 692/2000 | Total reward: -200.0
Episode 693/2000 | Total reward: -200.0
Episode 694/2000 | Total reward: -200.0
Episode 695/2000 | Total reward: -200.0
Episode 696/2000 | Total reward: -200.0
Episode 697/2000 | Total reward: -200.0
Episode 698/2000 | Total reward: -200.0
Episode 699/2000 | Total reward: -200.0
