Episode 530/1000 | Total reward: -188.0
Episode 531/1000 | Total reward: -130.0
Episode 532/1000 | Total reward: -197.0
Episode 533/1000 | Total reward: -127.0
Episode 534/1000 | Total reward: -132.0
Episode 535/1000 | Total reward: -195.0
Episode 536/1000 | Total reward: -132.0
Episode 537/1000 | Total reward: -196.0
Episode 538/1000 | Total reward: -200.0
Episode 539/1000 | Total reward: -200.0
Episode 540/1000 | Total reward: -195.0
Episode 541/1000 | Total reward: -197.0
Episode 542/1000 | Total reward: -197.0
Episode 543/1000 | Total reward: -131.0
Episode 544/1000 | Total reward: -128.0
Episode 545/1000 | Total reward: -125.0
Episode 546/1000 | Total reward: -126.0
Episode 547/1000 | Total reward: -183.0
Episode 548/1000 | Total reward: -128.0
Episode 549/1000 | Total reward: -123.0
Episode 550/1000 | Total reward: -125.0
Episode 551/1000 | Total reward: -133.0
Episode 552/1000 | Total reward: -180.0
Episode 553/1000 | Total reward: -131.0
Episode 554/1000 | Total reward: -126.0
Episode 555/1000 | Total reward: -128.0
Episode 556/1000 | Total reward: -195.0
Episode 557/1000 | Total reward: -200.0
Episode 558/1000 | Total reward: -167.0
Episode 559/1000 | Total reward: -126.0
Episode 560/1000 | Total reward: -125.0
Episode 561/1000 | Total reward: -185.0
Episode 562/1000 | Total reward: -199.0
Episode 563/1000 | Total reward: -128.0
Episode 564/1000 | Total reward: -196.0
Episode 565/1000 | Total reward: -200.0
Episode 566/1000 | Total reward: -200.0
Episode 567/1000 | Total reward: -200.0
Episode 568/1000 | Total reward: -200.0
Episode 569/1000 | Total reward: -200.0
Episode 570/1000 | Total reward: -177.0
Episode 571/1000 | Total reward: -200.0
Episode 572/1000 | Total reward: -180.0
Episode 573/1000 | Total reward: -200.0
Episode 574/1000 | Total reward: -200.0
Episode 575/1000 | Total reward: -171.0
Episode 576/1000 | Total reward: -200.0
Episode 577/1000 | Total reward: -175.0
Episode 578/1000 | Total reward: -137.0
Episode 579/1000 | Total reward: -197.0
Episode 580/1000 | Total reward: -134.0
Episode 581/1000 | Total reward: -128.0
Episode 582/1000 | Total reward: -125.0
Episode 583/1000 | Total reward: -183.0
Episode 584/1000 | Total reward: -200.0
Episode 585/1000 | Total reward: -172.0
Episode 586/1000 | Total reward: -132.0
Episode 587/1000 | Total reward: -127.0
Episode 588/1000 | Total reward: -125.0
Episode 589/1000 | Total reward: -177.0
Episode 590/1000 | Total reward: -128.0
Episode 591/1000 | Total reward: -125.0
Episode 592/1000 | Total reward: -194.0
Episode 593/1000 | Total reward: -124.0
Episode 594/1000 | Total reward: -126.0
Episode 595/1000 | Total reward: -188.0
Episode 596/1000 | Total reward: -200.0
Episode 597/1000 | Total reward: -170.0
Episode 598/1000 | Total reward: -136.0
Episode 599/1000 | Total reward: -197.0
Episode 600/1000 | Total reward: -200.0
Episode 601/1000 | Total reward: -172.0
Episode 602/1000 | Total reward: -200.0
Episode 603/1000 | Total reward: -200.0
Episode 604/1000 | Total reward: -200.0
Episode 605/1000 | Total reward: -200.0
Episode 606/1000 | Total reward: -200.0
Episode 607/1000 | Total reward: -200.0
Episode 608/1000 | Total reward: -200.0
Episode 609/1000 | Total reward: -200.0
Episode 610/1000 | Total reward: -200.0
Episode 611/1000 | Total reward: -200.0
Episode 612/1000 | Total reward: -200.0
Episode 613/1000 | Total reward: -200.0
Episode 614/1000 | Total reward: -181.0
Episode 615/1000 | Total reward: -200.0
Episode 616/1000 | Total reward: -200.0
Episode 617/1000 | Total reward: -135.0
Episode 618/1000 | Total reward: -131.0
Episode 619/1000 | Total reward: -188.0
Episode 620/1000 | Total reward: -200.0
Episode 621/1000 | Total reward: -169.0
Episode 622/1000 | Total reward: -126.0
Episode 623/1000 | Total reward: -181.0
Episode 624/1000 | Total reward: -126.0
Episode 625/1000 | Total reward: -182.0
Episode 626/1000 | Total reward: -125.0
Episode 627/1000 | Total reward: -192.0
Episode 628/1000 | Total reward: -193.0
Episode 629/1000 | Total reward: -195.0
Episode 630/1000 | Total reward: -199.0
Episode 631/1000 | Total reward: -124.0
Episode 632/1000 | Total reward: -199.0
Episode 633/1000 | Total reward: -134.0
Episode 634/1000 | Total reward: -126.0
Episode 635/1000 | Total reward: -179.0
Episode 636/1000 | Total reward: -200.0
Episode 637/1000 | Total reward: -200.0
Episode 638/1000 | Total reward: -200.0
Episode 639/1000 | Total reward: -200.0
Episode 640/1000 | Total reward: -200.0
Episode 641/1000 | Total reward: -200.0
Episode 642/1000 | Total reward: -200.0
Episode 643/1000 | Total reward: -200.0
Episode 644/1000 | Total reward: -200.0
Episode 645/1000 | Total reward: -200.0
Episode 646/1000 | Total reward: -200.0
Episode 647/1000 | Total reward: -200.0
Episode 648/1000 | Total reward: -200.0
Episode 649/1000 | Total reward: -200.0
Episode 650/1000 | Total reward: -200.0
Episode 651/1000 | Total reward: -200.0
Episode 652/1000 | Total reward: -200.0
Episode 653/1000 | Total reward: -186.0
Episode 654/1000 | Total reward: -134.0
Episode 655/1000 | Total reward: -194.0
Episode 656/1000 | Total reward: -128.0
Episode 657/1000 | Total reward: -195.0
Episode 658/1000 | Total reward: -200.0
Episode 659/1000 | Total reward: -200.0
Episode 660/1000 | Total reward: -200.0
Episode 661/1000 | Total reward: -200.0
Episode 662/1000 | Total reward: -200.0
Episode 663/1000 | Total reward: -200.0
Episode 664/1000 | Total reward: -200.0
Episode 665/1000 | Total reward: -200.0
Episode 666/1000 | Total reward: -200.0
Episode 667/1000 | Total reward: -200.0
Episode 668/1000 | Total reward: -200.0
Episode 669/1000 | Total reward: -200.0
Episode 670/1000 | Total reward: -191.0
Episode 671/1000 | Total reward: -200.0
Episode 672/1000 | Total reward: -173.0
Episode 673/1000 | Total reward: -200.0
Episode 674/1000 | Total reward: -197.0
Episode 675/1000 | Total reward: -200.0
Episode 676/1000 | Total reward: -131.0
Episode 677/1000 | Total reward: -130.0
Episode 678/1000 | Total reward: -200.0
Episode 679/1000 | Total reward: -128.0
Episode 680/1000 | Total reward: -126.0
Episode 681/1000 | Total reward: -126.0
Episode 682/1000 | Total reward: -197.0
Episode 683/1000 | Total reward: -130.0
Episode 684/1000 | Total reward: -200.0
Episode 685/1000 | Total reward: -130.0
Episode 686/1000 | Total reward: -182.0
Episode 687/1000 | Total reward: -200.0
Episode 688/1000 | Total reward: -200.0
Episode 689/1000 | Total reward: -131.0
Episode 690/1000 | Total reward: -189.0
Episode 691/1000 | Total reward: -131.0
Episode 692/1000 | Total reward: -198.0
Episode 693/1000 | Total reward: -193.0
Episode 694/1000 | Total reward: -200.0
Episode 695/1000 | Total reward: -170.0
Episode 696/1000 | Total reward: -200.0
Episode 697/1000 | Total reward: -173.0
Episode 698/1000 | Total reward: -135.0
Episode 699/1000 | Total reward: -129.0
