Episode 391/5000 | Total reward: -200.0
Episode 392/5000 | Total reward: -200.0
Episode 393/5000 | Total reward: -200.0
Episode 394/5000 | Total reward: -200.0
Episode 395/5000 | Total reward: -200.0
Episode 396/5000 | Total reward: -200.0
Episode 397/5000 | Total reward: -200.0
Episode 398/5000 | Total reward: -200.0
Episode 399/5000 | Total reward: -200.0
Episode 400/5000 | Total reward: -200.0
Episode 401/5000 | Total reward: -200.0
Episode 402/5000 | Total reward: -200.0
Episode 403/5000 | Total reward: -200.0
Episode 404/5000 | Total reward: -200.0
Episode 405/5000 | Total reward: -200.0
Episode 406/5000 | Total reward: -200.0
Episode 407/5000 | Total reward: -200.0
Episode 408/5000 | Total reward: -200.0
Episode 409/5000 | Total reward: -200.0
Episode 410/5000 | Total reward: -200.0
Episode 411/5000 | Total reward: -200.0
Episode 412/5000 | Total reward: -200.0
Episode 413/5000 | Total reward: -200.0
Episode 414/5000 | Total reward: -200.0
Episode 415/5000 | Total reward: -200.0
Episode 416/5000 | Total reward: -200.0
Episode 417/5000 | Total reward: -200.0
Episode 418/5000 | Total reward: -200.0
Episode 419/5000 | Total reward: -200.0
Episode 420/5000 | Total reward: -200.0
Episode 421/5000 | Total reward: -200.0
Episode 422/5000 | Total reward: -200.0
Episode 423/5000 | Total reward: -200.0
Episode 424/5000 | Total reward: -200.0
Episode 425/5000 | Total reward: -200.0
Episode 426/5000 | Total reward: -200.0
Episode 427/5000 | Total reward: -200.0
Episode 428/5000 | Total reward: -200.0
Episode 429/5000 | Total reward: -200.0
Episode 430/5000 | Total reward: -200.0
Episode 431/5000 | Total reward: -200.0
Episode 432/5000 | Total reward: -200.0
Episode 433/5000 | Total reward: -200.0
Episode 434/5000 | Total reward: -200.0
Episode 435/5000 | Total reward: -200.0
Episode 436/5000 | Total reward: -200.0
Episode 437/5000 | Total reward: -200.0
Episode 438/5000 | Total reward: -200.0
Episode 439/5000 | Total reward: -200.0
Episode 440/5000 | Total reward: -200.0
Episode 441/5000 | Total reward: -200.0
Episode 442/5000 | Total reward: -200.0
Episode 443/5000 | Total reward: -200.0
Episode 444/5000 | Total reward: -200.0
Episode 445/5000 | Total reward: -200.0
Episode 446/5000 | Total reward: -200.0
Episode 447/5000 | Total reward: -200.0
Episode 448/5000 | Total reward: -200.0
Episode 449/5000 | Total reward: -200.0
Episode 450/5000 | Total reward: -200.0
Episode 451/5000 | Total reward: -200.0
Episode 452/5000 | Total reward: -200.0
Episode 453/5000 | Total reward: -200.0
Episode 454/5000 | Total reward: -200.0
Episode 455/5000 | Total reward: -200.0
Episode 456/5000 | Total reward: -200.0
Episode 457/5000 | Total reward: -200.0
Episode 458/5000 | Total reward: -200.0
Episode 459/5000 | Total reward: -200.0
Episode 460/5000 | Total reward: -200.0
Episode 461/5000 | Total reward: -200.0
Episode 462/5000 | Total reward: -200.0
Episode 463/5000 | Total reward: -200.0
Episode 464/5000 | Total reward: -200.0
Episode 465/5000 | Total reward: -200.0
Episode 466/5000 | Total reward: -200.0
Episode 467/5000 | Total reward: -200.0
Episode 468/5000 | Total reward: -200.0
Episode 469/5000 | Total reward: -200.0
Episode 470/5000 | Total reward: -200.0
Episode 471/5000 | Total reward: -200.0
Episode 472/5000 | Total reward: -200.0
Episode 473/5000 | Total reward: -200.0
Episode 474/5000 | Total reward: -200.0
Episode 475/5000 | Total reward: -200.0
Episode 476/5000 | Total reward: -200.0
Episode 477/5000 | Total reward: -200.0
Episode 478/5000 | Total reward: -200.0
Episode 479/5000 | Total reward: -200.0
Episode 480/5000 | Total reward: -200.0
Episode 481/5000 | Total reward: -200.0
Episode 482/5000 | Total reward: -200.0
Episode 483/5000 | Total reward: -200.0
Episode 484/5000 | Total reward: -200.0
Episode 485/5000 | Total reward: -200.0
Episode 486/5000 | Total reward: -200.0
Episode 487/5000 | Total reward: -200.0
Episode 488/5000 | Total reward: -200.0
Episode 489/5000 | Total reward: -200.0
Episode 490/5000 | Total reward: -200.0
Episode 491/5000 | Total reward: -200.0
Episode 492/5000 | Total reward: -200.0
Episode 493/5000 | Total reward: -200.0
Episode 494/5000 | Total reward: -200.0
Episode 495/5000 | Total reward: -200.0
Episode 496/5000 | Total reward: -200.0
Episode 497/5000 | Total reward: -200.0
Episode 498/5000 | Total reward: -200.0
Episode 499/5000 | Total reward: -200.0
Episode 500/5000 | Total reward: -200.0
Episode 501/5000 | Total reward: -200.0
Episode 502/5000 | Total reward: -200.0
Episode 503/5000 | Total reward: -200.0
Episode 504/5000 | Total reward: -200.0
Episode 505/5000 | Total reward: -200.0
Episode 506/5000 | Total reward: -200.0
Episode 507/5000 | Total reward: -200.0
Episode 508/5000 | Total reward: -200.0
Episode 509/5000 | Total reward: -200.0
Episode 510/5000 | Total reward: -200.0
Episode 511/5000 | Total reward: -200.0
Episode 512/5000 | Total reward: -200.0
Episode 513/5000 | Total reward: -200.0
Episode 514/5000 | Total reward: -200.0
Episode 515/5000 | Total reward: -200.0
Episode 516/5000 | Total reward: -200.0
Episode 517/5000 | Total reward: -200.0
Episode 518/5000 | Total reward: -200.0
Episode 519/5000 | Total reward: -200.0
Episode 520/5000 | Total reward: -200.0
Episode 521/5000 | Total reward: -200.0
Episode 522/5000 | Total reward: -200.0
Episode 523/5000 | Total reward: -200.0
Episode 524/5000 | Total reward: -200.0
Episode 525/5000 | Total reward: -200.0
Episode 526/5000 | Total reward: -200.0
Episode 527/5000 | Total reward: -200.0
Episode 528/5000 | Total reward: -200.0
Episode 529/5000 | Total reward: -200.0
Episode 530/5000 | Total reward: -200.0
Episode 531/5000 | Total reward: -200.0
Episode 532/5000 | Total reward: -200.0
Episode 533/5000 | Total reward: -200.0
Episode 534/5000 | Total reward: -200.0
Episode 535/5000 | Total reward: -200.0
Episode 536/5000 | Total reward: -200.0
Episode 537/5000 | Total reward: -200.0
Episode 538/5000 | Total reward: -200.0
Episode 539/5000 | Total reward: -200.0
Episode 540/5000 | Total reward: -200.0
Episode 541/5000 | Total reward: -200.0
Episode 542/5000 | Total reward: -200.0
Episode 543/5000 | Total reward: -200.0
Episode 544/5000 | Total reward: -200.0
Episode 545/5000 | Total reward: -200.0
Episode 546/5000 | Total reward: -200.0
Episode 547/5000 | Total reward: -200.0
Episode 548/5000 | Total reward: -200.0
Episode 549/5000 | Total reward: -200.0
Episode 550/5000 | Total reward: -200.0
Episode 551/5000 | Total reward: -200.0
Episode 552/5000 | Total reward: -200.0
Episode 553/5000 | Total reward: -200.0
Episode 554/5000 | Total reward: -200.0
Episode 555/5000 | Total reward: -200.0
Episode 556/5000 | Total reward: -200.0
Episode 557/5000 | Total reward: -200.0
Episode 558/5000 | Total reward: -200.0
Episode 559/5000 | Total reward: -200.0
Episode 560/5000 | Total reward: -200.0
Episode 561/5000 | Total reward: -200.0
Episode 562/5000 | Total reward: -200.0
Episode 563/5000 | Total reward: -200.0
Episode 564/5000 | Total reward: -200.0
Episode 565/5000 | Total reward: -200.0
Episode 566/5000 | Total reward: -200.0
Episode 567/5000 | Total reward: -200.0
Episode 568/5000 | Total reward: -200.0
Episode 569/5000 | Total reward: -200.0
Episode 570/5000 | Total reward: -200.0
Episode 571/5000 | Total reward: -200.0
Episode 572/5000 | Total reward: -200.0
